kode_rs,nama_unit,alamat,telp,prov,lat,lng
3504089S,RS Darurat Covid-19 Rusumawa & Mahad IAIN Tulungag,Jl. MT. Haryono Gg. II Kudusan Plosokandang Kec. Kedungwaru,085851199209,Jawa Timur,-2.4185588,108.4919086
3503022,RS Umum Budi Asih Trenggalek,Jl. Mayjen Sungkono Nomor 80 Trenggalek,0355794690,Jawa Timur,-8.0562,111.698
3578784,RS Ibu dan Anak Perdana Medica,JL Raya Kutisari No. 6 Surabaya,03199851925,Jawa Timur,-2.4185588,108.4919086
3603183,RS Umum BUN,Jl. Raya Kosambi Timur no.2 RT. 011/004,895330577257,Banten,-6.081728103853906,106.69691531863555
6107022,RS Tk. IV 12.07.02 Sintang,Jl. MT Haryono KM.3 RT 16 RW 5 Kelurahan Kapuas Kanan Hulu Kec. Sintang Kab. Sintang,085752770233,Kalimantan Barat,0.06350403073635542,111.47752909865721
7471070,RS Bhayangkara Kendari, Jl. Gunung Meluhu No. 7 Kota Kendari,085342996671,Sulawesi Tenggara,-3.97245259,122.50799975
1110053,RS Arun Lhokseumawe,Jl. Plaju Komplek Perumahan PT Arun Batuphat,085361468636,Aceh,5.21701,97.0491
1171026,RS Tk. II Iskandar Muda Banda Aceh,Jl. T. Hamzah Bendahara No. 1 Banda Aceh,065124712,Aceh,5.55497,95.33
1174100,RS Tk. IV Lhokseumawe Aceh Utara,Jl. Samudra No.53A Kp Jawa Kec. Banda Sakti Lhokseumawe AUT,082275830041,Aceh,5.18786,97.1497
1109029,RS Umum Citra Husada,Jl. Prof. A. Majid Ibrahim Lampeudeu Baroh Tijue,0823 67050218,Aceh,5.36201,95.9598
1102016,RS Umum Daerah Aceh Singkil,Jl. Rimo - Singkil Km.8 Desa Gunung Lagan ,085275561677,Aceh,2.345390,97.934071
1174016,RS Umum Daerah Cut Meutia Kab. Aceh Utara,Jl. Banda Aceh-Medan Km.6 Buket Rata Lhokseumawe,064546334,Aceh,5.1892,97.149
1107014,RS Umum Daerah Cut Nyak Dhien,Jl. Gajah Mada Meulaboh ,081260111008,Aceh,4.15598,96.1301
1106013,RS Umum Daerah Datu Beru Takengon,Jl. Rumah Sakit No.153 Kec. Kebayakan ,064321396,Aceh,4.636337701721109,96.85176154949079
1110075,RS Umum Daerah Dr. Fauziah Bireun,Jl. Mayjen T. Hamzah Bendahara No. 13 Bireuen,081360057146,Aceh,5.204113,96.698784
1105056,RS Umum Daerah dr. Zubir Mahmud,Jl. Medan-Banda Aceh Km. 372 Desa Seuneubok Barat Kec.Idi timur Kab.Aceh timur,064621139,Aceh,4.96232,97.7525
1104011,RS Umum Daerah H. Sahudin Kutacane,Jl. Raya Kutacane - Blang Kejeran KM 3 Kutacane,062921676,Aceh,3.76794,97.5891
1108015,RS Umum Daerah Kabupaten Aceh Besar,Jl. Banda Aceh-Medan KM.25 Sinyeu Indrapuri,085361428516,Aceh,5.28412,95.6313
1171110,RS Umum Daerah Meuraxa,Jl. Soekarno Hatta Km. 2 Desa Mibo Kecamatan Banda Raya Kota Banda Aceh,065143097,Aceh,5.51841,95.3172
1118012,RS Umum Daerah Pidie Jaya,"      Jl. Banda - Aceh KM. 158, Meureudu",08126911436,Aceh,4.98824,96.2801
1172016,RS Umum Daerah Sabang,Jl. Teuku Umar Sabang,081362000626,Aceh,5.89495,95.3158
1101015,RS Umum Daerah Simeulue,Jl. Teuku Raja Mahmud Desa Amiria Bahagia Kecamatan Simeulue Timur,082365706161,Aceh,2.64397,96.0256
1115012,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,"Jl. Nasional Meulaboh-Tapak Tuan KM. 28,5 Ujung Patihah Kabupaten Nagan Raya",06557141062,Aceh,4.13144,96.4892
1112011,RS Umum Daerah Teungku Peukan,Jl. Nasional padang Meurante Kecamatan Susoh,082275566906,Aceh,3.7479,96.837
1109027,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,"Jl. Banda Aceh - Medan Km.125,5 Kota Mini - Beureunuen",085226259404,Aceh,5.36447,95.9603
1113012,RS Umum Muhammad Ali Kasim,"Jl.Pangur-Sangir, Kec Dabun Gelang",081360082884,Aceh,4.006064233080628,97.36997660349896
1171150,RS Umum Pertamedika Ummi Rosnati,"Jl. Sekolah No. 5 Gampoeng Ateuk Pahlawan, Kecamatan Baiturahman, Kota Banda Aceh 23241",08116786226,Aceh,5.526235972123979,95.34127383437499
1171147,RS Umum Prince Nayef Bin Abdul Aziz Syiah Kuala Un,Jl. Lingkar Kampus,08116819755,Aceh,5.564178,95.370285
